text,label
I love this product,positive
This is amazing and works great,positive
Absolutely fantastic experience,positive
I really liked it,positive
Best purchase ever,positive
Very happy with the results,positive
Superb quality and performance,positive
This made my day,positive
Highly recommend this,positive
Totally worth it,positive

This is terrible,negative
Worst product I have ever used,negative
I hate this so much,negative
Very disappointing experience,negative
Not worth the money,negative
Completely useless,negative
Poor quality and bad performance,negative
It broke after one use,negative
I regret buying this,negative
Awful and frustrating,negative

It is okay,neutral
Not bad but not great,neutral
Average experience,neutral
Nothing special about it,neutral
It works fine,neutral
Just okay,neutral
Neither good nor bad,neutral
Decent but could be better,neutral
It's acceptable,neutral
Mediocre at best,neutral